#MsgID    Audience Date       Time(milli)  PID   TID   Quoted 
00000032 Prog.    2019-11-22 08:57:04.163   984   994 "DSK: [nvme0n1] r/s=0.3 kr/s=8.3 w/s=0.0 kw/s=0.5 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.4 kr/s=18.1 w/s=5.7 kw/s=128.0 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
00000033 Prog.    2019-11-22 08:58:04.165   984   994 "SYS: LPT=17 APT=0 PU=  1% MU= 47% MAL=1321431040 MMP=1320517632 SBK=913408 TOT=1290980K RAM=16599624K SWP=17236K"
00000034 Prog.    2019-11-22 08:58:04.166   984   994 "DSK: [nvme0n1] r/s=0.3 kr/s=4.8 w/s=0.2 kw/s=0.7 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=1.0 kr/s=31.1 w/s=14.4 kw/s=425.3 bsy=2 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=98"
00000035 Prog.    2019-11-22 08:59:04.168   984   994 "SYS: LPT=17 APT=0 PU=  0% MU= 47% MAL=1321431040 MMP=1320517632 SBK=913408 TOT=1290980K RAM=16596332K SWP=17236K"
00000036 Prog.    2019-11-22 08:59:04.169   984   994 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.1 w/s=3.3 kw/s=42.0 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
00000037 Prog.    2019-11-22 09:00:04.171   984   994 "SYS: LPT=17 APT=0 PU=  0% MU= 47% MAL=1321431040 MMP=1320517632 SBK=913408 TOT=1290980K RAM=16652888K SWP=17236K"
00000038 Prog.    2019-11-22 09:00:04.172   984   994 "DSK: [nvme0n1] r/s=0.1 kr/s=1.1 w/s=0.2 kw/s=2.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.2 kw/s=43.0 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.1 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
00000039 Prog.    2019-11-22 09:01:04.174   984   994 "SYS: LPT=17 APT=0 PU=  0% MU= 47% MAL=1321431040 MMP=1320517632 SBK=913408 TOT=1290980K RAM=16597424K SWP=17236K"
0000003A Prog.    2019-11-22 09:01:04.175   984   994 "DSK: [nvme0n1] r/s=0.8 kr/s=10.2 w/s=2.0 kw/s=10.5 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.1 kr/s=0.9 w/s=4.0 kw/s=37.8 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
0000003B Prog.    2019-11-22 09:02:04.176   984   994 "SYS: LPT=17 APT=0 PU=  0% MU= 47% MAL=1321431040 MMP=1320517632 SBK=913408 TOT=1290980K RAM=16657336K SWP=17236K"
